공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
"문화재청, 2019 문화유산채널 영상공모전",1067,문화재청,한국문화재재단,UCC/영상,대학생/중학생/고등학생,2019-08-01 ~ 2019-09-15,150만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
해남 가볼까남? UCC영상 공모전 공고,680,해남군,한국문화재재단,UCC/영상,제한없음,2019-07-22 ~ 2019-09-20,200만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
한강 위를 걷는 천 가지 상상 아이디어,917,서울시 도시공간개선단 ,(주)맛있는공감,기획/아이디어,제한없음,2019-07-01 ~ 2019-08-16,"3,800만원",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
제1회 대구 빅데이터 분석 경진대회,1081,"대구광역시, DGB대구은행",(재)대구디지털산업진흥원,논문/리포트,제한없음,2019-07-22 ~ 2019-08-02,"1,500만원",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019년 우수 상표·디자인권 공모전,1030,특허청,한국발명진흥회,디자인,일반인/기업,2019-07-18 ~ 2019-08-20,산업통상자원부장관상,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019년 대한민국발명특허대전(KINPEX) 공고,1041,특허청,한국발명진흥회,과학/공학,일반인,2019-07-18 ~ 2019-08-20,대통령상,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
국립어린이청소년도서관 홍보영상 공모전,410,국립어린이청소년도서관,한국발명진흥회,UCC/영상,제한없음,2019-07-15 ~ 2019-07-31,문화상품권 20만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제12회 대한민국 청소년 사진공모전,1315,사단법인 밝은청소년,사단법인 밝은청소년,사진,중학생/고등학생,2019-07-19 ~ 2019-08-23,교육부장관상,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제11회 대한민국 대학국악제,764,"포스코,광양시,문화문","문화문,씨앤케이컨설팅",예체능,대학생/대학원생,2019-07-08 ~ 2019-08-09,"1,000만원",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4개 항만공사 창업 아이디어 발굴 해커톤,585,"부산, 여수광양, 울산, 인천항만공사","문화문,씨앤케이컨설팅",기획/아이디어,대학생/대학원생,2019-07-22 ~ 2019-08-30,400만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
""" 더나은 일자리, 더 나은 완주"" 제 1회 완주군 전국 일자리 정책 공모전",288,"완주군, 노용노동부 전주지청",완주군로컬잡센터,기획/아이디어,제한없음,2019-07-08 ~ 2019-08-23,"1,000만원",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
