공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
(서포터즈) 탱글티저 서포터즈 1기 모집 <HAIR SQUAD>,275,탱글티저,에딧메이트(쿨잼컴퍼니),대외활동,대학생,2020-01-29 ~ 2020-02-11,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) 한국관광공사 트래블리더 12기 모집,722,한국관광공사,(주)동행복권,대외활동,대학생,2020-01-28 ~ 2020-02-17,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(리포터) 21대 총선 매니페스토 청년·대학생 SNS 기자단 7기,344,한국매니페스토실천본부,(주)동행복권,대외활동,대학생/대학원생/일반인,2020-01-29 ~ 2020-02-09,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(서포터즈) 2020년 트립플X G마켓,옥션 글로벌 SNS 서포터즈 대모집",818,미래클라우드,트립플,대외활동,대학생/대학원생/일반인,2020-02-03 ~ 2020-03-15,"7,000천원",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
제 7기 KISDI STAT 서포터즈 모집,674,kisdistat 미디어통계포털,정보통신정책연구원,대외활동,대학생/대학원생,2020-01-29 ~ 2020-02-14,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)제21회 전주국제영화제 자원활동가 ‘지프지기’ 모집!,1231,전주국제영화제,정보통신정책연구원,대외활동,대학생/일반인,2020-01-30 ~ 2020-03-06,100만원,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈) LG CNS 코딩지니어스 대학생 서포터즈 7기 모집,431,LG CNS,LG CNS,대외활동,대학생,2020-01-31 ~ 2020-02-17,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(리포터) 한국어린이기자단 4기 어린이기자 모집,924,대한민국청소년기자단,대한민국청소년기자단,대외활동,어린이/초등학생,2020-01-15 ~ 2020-02-16,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(리포터)제12기 행정중심복합도시건설청 정책기자단 모집,310,행정중심복합도시건설청,대한민국청소년기자단,대외활동,제한없음,2020-01-22 ~ 2020-02-04,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타)협성문화재단 대학생 해외탐방 DT.10 프랑스 파리 모집,999,협성문화재단,협성문화재단,대외활동,대학생/대학원생/일반인,2020-03-02 ~ 2020-03-13,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
나만의 평범한 이야기를 들려주세요! 인터뷰어 모집 안내,333,크리에이터꽃,협성문화재단,대외활동,제한없음,2020-01-31 ~ 2020-02-14,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(서포터즈)상상공작소 남북청년 소셜파티 "" 함께하는 우리""",326,상상공작소,협성문화재단,대외활동,대학생,2020-01-31 ~ 2020-02-05,150만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(서포터즈)인사혁신처, 국민기자단 사람나래 6기 모집",401,인사혁신처,협성문화재단,대외활동,제한없음,2020-01-23 ~ 2020-02-09,150만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
